,be_num,num,sm_eqv,total,client_id,is_fraud
0,1,250,0.565000000000000,10,2,No
1,2,251,1,15,3,No
2,4,253,1,15,10,No
3,5,254,2,4800,14,No
4,7,256,2,39000,11,No
5,8,257,1,15000,11,No
6,9,258,2,1200,10,No
7,10,259,1,12000,28,No
8,11,260,2,30000,25,No
9,12,261,2,39000,11,No
10,13,262,1.24219000000000,23500,14,No
11,14,263,5,39000,27,No
12,15,265,1,12000,11,No
13,16,264,1,15000,28,No
14,17,266,2.80000000000000,16800,4,No
15,18,267,1,12000,11,No
16,19,268,1.34000000000000,7200,4,No
17,20,269,0.244475000000000,1200,9,No
18,21,270,1,12000,10,No
19,22,271,1.35000000000000,8400,37,No
20,23,272,1,15000,25,No
21,24,273,1.30420000000000,8300,1,No
22,25,274,1,20000,11,No
23,26,275,6,72000,41,Yes
24,27,276,0.615000000000000,8000,9,No
25,28,277,3,19800,4,No
26,29,278,1,12000,11,No
27,30,279,4,5400,17,No
28,31,280,9,120000,7,Yes
29,32,281,1,15000,10,No
30,33,282,1,13500,11,No
31,34,283,2,15000,10,No
32,35,284,1,15000,44,No
33,36,285,0.200000000000000,3000,47,No
34,37,286,5.34750000000000,37600,51,No
35,38,287,1,12000,7,No
36,39,288,1,13500,11,No
37,40,289,1,19000,28,No
38,41,290,1,6000,17,No
39,42,291,2,20000,32,No
40,43,292,1,12000,10,No
41,44,293,1,13000,10,No
42,45,294,1,12000,11,No
43,46,295,0.0180000000000000,2400,58,No
44,47,296,1,12000,11,No
45,48,297,1,12000,10,No
46,49,298,2,36000,17,No
47,50,299,0.940500000000000,7200,4,No
48,51,300,1,14000,11,No
49,52,301,2,20000,32,No
50,53,302,1,13500,11,No
51,54,303,1,7000,14,No
52,55,304,3,43500,11,No
53,56,305,2,20000,32,No
54,57,306,1,15000,28,No
55,59,308,1,13500,11,No
56,60,309,1,7800,4,No
57,62,310,1,2400,8,No
58,63,312,1,13500,11,No
59,64,313,1,6000,6,No
60,65,314,1,13500,11,No
61,66,315,8,99000,7,Yes
62,67,316,1.40000000000000,4800,4,No
63,68,317,1,13000,10,No
64,69,318,1,15000,2,No
65,70,319,1,13500,11,No
66,71,320,1,13500,28,No
67,72,321,1,13500,11,No
68,73,322,1,15000,64,No
69,74,323,2,24000,17,No
70,75,324,5.78500000000000,31200,4,No
71,76,325,0.242000000000000,6400,17,No
72,77,326,4,100000,68,Yes
73,78,327,1,15000,11,No
74,79,328,2,29200,8,No
75,82,331,2,30000,10,No
76,83,332,4.55550000000000,80000,69,Yes
77,84,333,4,60000,57,No
78,85,334,1.32700000000000,30200,1,No
79,86,335,1,12000,28,No
80,88,337,1.82600000000000,18000,28,No
81,89,338,1,15000,11,No
82,90,339,1,17000,70,No
83,91,340,1,27000,14,No
84,92,341,1,1800,6,No
85,93,342,0.796500000000000,12000,10,No
86,94,343,0.326000000000000,600,6,No
87,95,344,3,75000,68,Yes
88,96,345,2,27000,11,No
89,101,350,0.600000000000000,6400,4,No
90,100,349,1,12000,23,No
91,102,307,0,37800,1,No
92,103,329,2,40000,28,No
93,105,346,1,15000,10,No
94,106,347,1,17500,11,No
95,109,351,0.5,30000,69,No
96,110,352,0.815000000000000,12000,71,No
97,112,353,4,54000,72,No
98,113,354,3,45000,69,No
99,114,357,2,27000,11,No
100,115,355,1,15000,10,No
101,116,356,1,13500,28,No
102,118,359,1,12000,17,No
103,117,358,1,18400,1,No
104,119,360,1,18000,10,No
105,108,361,1,12000,12,No
106,121,362,0.5,2400,6,No
107,122,363,1,27000,11,No
108,123,364,1,19500,11,No
109,124,365,0.600000000000000,20000,24,No
110,125,366,1,15000,10,No
111,126,367,2.34500000000000,16800,4,No
112,127,368,2,33000,17,No
113,128,370,9,129000,7,Yes
114,129,371,3,15000,11,No
115,130,369,2,24000,57,No
116,131,374,1,28000,74,No
117,132,372,1,15000,10,No
118,133,373,2,20000,32,No
119,134,375,1,12000,75,No
120,135,376,1,14500,28,No
121,139,380,2,28000,76,No
122,136,377,1,12000,23,No
123,137,378,0.703390000000000,16000,12,No
124,138,379,1,15000,11,No
125,140,381,2,20000,32,No
126,145,382,1,14000,28,No
127,144,383,1,7000,28,No
128,147,384,1,17400,68,No
129,148,385,0.180000000000000,5400,54,No
130,149,386,2,6000,1,No
131,150,387,2.01000000000000,14400,77,No
132,151,388,0.725000000000000,15000,28,No
133,152,389,1.02686200000000,3600,78,No
134,153,390,5,72000,7,No
135,154,391,2,20000,79,No
136,155,392,7,101000,55,Yes
137,156,393,1,14000,55,No
138,158,394,2,20000,32,No
139,159,395,1,16000,10,No
140,160,396,1,12000,28,No
141,161,397,1,11000,12,No
142,162,398,0.5,3600,80,No
143,163,399,1,16000,11,No
144,164,400,0.182000000000000,5400,12,No
145,165,402,2,24000,57,No
146,168,404,4,48000,38,No
147,167,401,3,48000,2,No
148,170,403,2,29000,10,No
149,171,405,2,29000,11,No
150,172,407,1,15000,10,No
151,174,409,5,60000,7,No
152,175,410,5,55000,8,No
153,176,411,2,28500,34,No
154,177,412,2,12000,4,No
155,173,408,2,0,11,No
156,179,413,0.275000000000000,10000,24,No
157,178,414,1,5400,8,No
158,182,418,10,84000,27,Yes
159,181,417,2,12000,57,No
160,183,416,0.700000000000000,8400,27,No
161,180,415,1,16500,34,No
162,186,420,1,15000,3,No
163,184,422,1,11000,38,No
164,188,421,1,15000,81,No
165,187,424,1,7000,10,No
166,189,425,0.705000000000000,20000,10,No
167,185,423,3,42000,11,No
168,190,426,8.57000000000000,23400,4,Yes
169,192,427,1,12000,28,No
170,194,428,5,84000,33,Yes
171,191,429,3,45000,7,No
172,195,432,3,28000,34,No
173,197,433,1,12000,10,No
174,193,430,6,0,28,Yes
175,196,434,3,45000,7,No
176,199,435,1,12000,72,No
177,200,437,1,12000,51,No
178,201,438,2,30000,34,No
179,203,439,1,0,10,No
180,207,440,10,84000,27,Yes
181,206,441,4,24000,11,No
182,205,442,0.552500000000000,5400,10,No
183,208,443,1,6000,6,No
184,212,449,2.51096800000000,0,82,No
185,210,447,2,15000,11,No
186,211,450,1,6000,10,No
187,214,448,1,20000,84,No
188,217,446,0.314000000000000,20000,83,No
189,218,451,2,30000,85,No
190,215,452,4,6000,17,No
191,222,455,15,73200,47,Yes
192,209,454,1,11000,12,No
193,221,456,3,36000,7,No
194,223,459,4.21825000000000,34500,86,No
195,224,457,1,14500,11,No
196,226,461,1,12000,38,No
197,228,462,0.582500000000000,15000,11,No
198,229,463,12,117000,8,Yes
199,230,464,2,29000,10,No
200,231,467,4,54000,87,No
201,232,466,1,15000,10,No
202,233,46,2,20000,32,No
203,237,468,6,72000,7,Yes
204,238,471,2,20000,88,No
205,235,470,1.375,8400,34,No
206,234,469,1,13500,33,No
207,239,472,2,28000,31,No
208,240,473,14,123000,89,Yes
209,242,474,4,60000,2,No
210,241,476,3,33000,17,No
211,243,475,1,10000,25,No
212,244,477,3.30000000000000,30000,15,No
213,245,478,1,15000,44,No
214,250,484,2,20000,32,No
215,249,481,4.34000000000000,72500,90,Yes
216,246,483,4,11000,38,No
217,252,482,2,42000,91,No
218,251,485,2,26500,10,No
219,253,486,1,12000,16,No
220,254,487,2,30000,36,No
221,256,489,6,36000,92,Yes
222,257,490,5,42000,27,No
223,258,491,1,22500,10,No
224,259,492,6,72000,7,Yes
225,260,493,1.84000000000000,24200,93,No
226,261,494,2,15000,10,No
227,262,495,2,14000,11,No
228,263,496,1,20000,69,No
229,264,497,1,15000,7,No
230,266,498,2.33885000000000,16500,94,No
231,265,499,3,41000,17,No
232,270,502,3,45000,95,No
233,267,503,2,39000,11,No
234,268,500,1,12000,10,No
235,271,504,0.555000000000000,16000,10,No
236,273,506,3,25000,96,No
237,274,507,2.39793600000000,45000,33,No
238,272,505,1.13500000000000,18000,10,No
239,275,508,2,20000,32,No
240,276,509,1,16000,10,No
241,277,510,1,17500,10,No
242,278,511,1,12000,10,No
243,281,514,1,16000,10,No
244,280,513,1.73250000000000,26000,98,No
245,279,512,1,33000,97,No
246,282,515,0.230000000000000,7000,33,No
247,283,516,5,60000,99,Yes
248,284,517,1,15000,10,No
249,286,518,5,67500,34,No
250,287,519,2,18000,100,No
251,290,522,1,15000,10,No
252,289,520,1,15000,97,No
253,288,523,2,23100,34,No
254,292,521,1,25200,46,No
255,293,525,2,30000,99,No
256,297,528,1,15000,10,No
257,295,527,1,17100,34,No
258,294,526,1.5,24000,7,No
259,296,529,1,19500,11,No
260,301,533,1,12900,34,No
261,300,532,5,42000,27,No
262,299,531,0.5,12000,102,No
263,298,530,1.19500000000000,39000,101,No
264,302,535,1,12000,10,No
265,303,536,1,9000,20,No
266,304,538,1,15000,103,No
267,305,537,0.470000000000000,24000,28,No
268,285,534,2,24000,28,No
269,269,501,6,42000,28,No
270,247,479,11,69000,28,Yes
271,306,539,1,7500,34,No
272,307,540,0.25,7000,104,No
273,308,541,1,6000,105,No
274,310,543,5,42000,27,No
275,309,542,2,24000,11,No
276,311,544,4,22000,34,No
277,314,546,0.236854000000000,6000,10,No
278,313,545,0.387500000000000,9000,106,No
279,316,547,0.392000000000000,4200,27,No
280,317,548,1,7600,4,No
281,318,549,1.26000000000000,15000,107,No
282,319,551,1,15000,11,No
283,320,550,2,30000,29,No
284,321,552,0.740000000000000,24000,22,No
285,322,553,0.5,3000,11,No
286,312,554,1,3000,10,No
287,324,555,0.400000000000000,12500,10,No
288,331,560,1,17500,10,No
289,328,559,3,39000,108,No
